FCS,,,,,,
Colonial,North,South,,,,
Southern,North,South,,,,
Southland,East,West,,,,
Ohio Valley,North,South,,,,
Missouri Valley,East,West,,,,
Big Sky,North,South,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival
# CAA,,,,,,
TEAM,CAA,North,Maine,MAIN,90,DEL
TEAM,CAA,North,N. Hampshire,NH,75,WM
TEAM,CAA,North,Rhode Island,RI,70,TOWS
TEAM,CAA,North,C. Connecticut,CCON,85,JMU
TEAM,CAA,North,Albany,ALB,65,RICH
TEAM,CAA,North,Stony Brook,STBR,60,ELON
TEAM,CAA,North,Monmouth,MONM,55,MONM
TEAM,CAA,South,Villanova,NOVA,75,NOVA
TEAM,CAA,South,Delaware,DEL,80,MAIN
TEAM,CAA,South,Towson,TOWS,65,RI
TEAM,CAA,South,James Madison,JMU,95,CCON
TEAM,CAA,South,Richmond,RICH,75,ALB
TEAM,CAA,South,William & Mary,WM,70,NH
TEAM,CAA,South,Elon,ELON,50,STBR
# SoCon,,,,,,
TEAM,SoCon,North,ETSU,ETSU,75,CSOU
TEAM,SoCon,North,Chattanooga,CHAT,80,MERC
TEAM,SoCon,North,W. Carolina,WCAR,60,FURM
TEAM,SoCon,North,Davidson,DAV,65,WOFF
TEAM,SoCon,North,NC A&T,NCAT,90,SCST
TEAM,SoCon,North,VMI,VMI,50,CIT
TEAM,SoCon,North,Samford,SAMF,70,FLAM
TEAM,SoCon,South,Furman,FURM,90,WCAR
TEAM,SoCon,South,Wofford,WOFF,85,DAV
TEAM,SoCon,South,The Citadel,CIT,70,VMI
TEAM,SoCon,South,SC State,SCST,65,NCAT
TEAM,SoCon,South,Charleston So.,CSOU,75,ETSU
TEAM,SoCon,South,Mercer,MERC,55,CHAT
TEAM,SoCon,South,Florida A&M,FLAM,80,SAMF
# SLC,,,,,,
TEAM,SLC,East,McNeese,MCNE,90,IWRD
TEAM,SLC,East,Nicholls,NICH,85,SHST
TEAM,SLC,East,Northwestern St,NWST,80,SFA
TEAM,SLC,East,SE Louisiana,SELA,75,ABIL
TEAM,SLC,East,Alcorn St,ALCN,70,HBAP
TEAM,SLC,East,Southern,SOU,65,CARK
TEAM,SLC,East,Grambling St,GRMB,60,LAM
TEAM,SLC,West,Incarnate Word,IWRD,50,MCNE
TEAM,SLC,West,Sam Houston St,SHST,80,NICH
TEAM,SLC,West,SF Austin,SFA,75,NWST
TEAM,SLC,West,Abilene Christ.,ABIL,70,SELA
TEAM,SLC,West,Houston Baptist,HBAP,65,ALCN
TEAM,SLC,West,C. Arkansas,CARK,60,SOU
TEAM,SLC,West,Lamar,LAM,55,GRMB
# OVC,,,,,,
TEAM,OVC,North,E. Illinois,EILL,85,KENN
TEAM,OVC,North,E. Kentucky,EKEN,80,STET
TEAM,OVC,North,Murray State,MURR,70,ASTP
TEAM,OVC,North,SE Missouri,SEMO,75,TMAR
TEAM,OVC,North,Butler,BUTL,50,TNST
TEAM,OVC,North,Morehead St,MHST,55,TTCH
TEAM,OVC,North,Hampton,HAMP,60,JKST
TEAM,OVC,South,Kennesaw St,KENN,95,EILL
TEAM,OVC,South,Stetson,STET,70,EKEN
TEAM,OVC,South,Austin Peay,ASTP,85,MURR
TEAM,OVC,South,UT Martin,TMAR,60,SEMO
TEAM,OVC,South,Tennessee St,TNST,55,BUTL
TEAM,OVC,South,Tennessee Tech,TTCH,75,MHST
TEAM,OVC,South,Jacksonville St,JKST,80,HAMP
# MVC,,,,,,
TEAM,MVC,East,Illinois St,ILST,85,ND
TEAM,MVC,East,Indiana St,INST,75,NDST
TEAM,MVC,East,S. Illinois,SILL,65,SD
TEAM,MVC,East,Youngstown St,YTWN,90,SDST
TEAM,MVC,East,W. Illinois,WILL,50,NIWA
TEAM,MVC,East,Dayton,DAYT,60,DRAK
TEAM,MVC,East,Duquesne,DUQ,70,MOST
TEAM,MVC,West,N. Dakota,ND,75,ILST
TEAM,MVC,West,N. Dakota St,NDST,95,INST
TEAM,MVC,West,S. Dakota,SD,85,SILL
TEAM,MVC,West,S. Dakota St,SDST,70,YTWN
TEAM,MVC,West,N. Iowa,NIWA,80,WILL
TEAM,MVC,West,Drake,DRAK,65,DAYT
TEAM,MVC,West,Missouri St,MOST,55,DUQ
# Big Sky,,,,,,
TEAM,Big Sky,North,E. Washington,EWAS,95,EWAS
TEAM,Big Sky,North,Portland St,PORT,85,PORT
TEAM,Big Sky,North,Idaho,ID,75,ID
TEAM,Big Sky,North,Idaho St,IDST,65,IDST
TEAM,Big Sky,North,Montana,MONT,80,MONT
TEAM,Big Sky,North,Montana St,MTST,70,MTST
TEAM,Big Sky,North,Weber St,WEBR,55,WEBR
TEAM,Big Sky,South,N. Arizona,NARZ,75,NARZ
TEAM,Big Sky,South,Cal Poly,CALP,90,CALP
TEAM,Big Sky,South,UC Davis,UCDV,70,UCDV
TEAM,Big Sky,South,Sacramento St,SACR,65,SACR
TEAM,Big Sky,South,S. Utah,SUT,55,SUT
TEAM,Big Sky,South,N. Colorado,NCOL,60,NCOL
TEAM,Big Sky,South,San Diego,SDGO,85,SDGO
END_FILE,,,,,,
